supabase_table,supabase_column,postgres_type,nullable,android_entity,android_field,json_key_sent,transform,status,notes
ring_heart_rate,id,UUID,NOT NULL,HeartRateEntity,-,id,UUID.randomUUID().toString(),OK,Android generates the UUID client-side before posting
ring_heart_rate,user_id,UUID,NOT NULL,HeartRateEntity,-,user_id,authStore.userId (from SharedPreferences),OK,Never comes from the entity - always from the auth store
ring_heart_rate,device_timestamp,BIGINT,NOT NULL,HeartRateEntity,deviceTimestamp,device_timestamp,none,OK,Unix ms UTC
ring_heart_rate,server_timestamp,BIGINT,NOT NULL,-,-,- not sent -,Supabase server_default: EXTRACT(EPOCH FROM NOW())*1000,OK,Set by Supabase automatically; Android must not send it
ring_heart_rate,bpm,SMALLINT,NOT NULL,HeartRateEntity,bpm,bpm,none,OK,Range 30–250
ring_heart_rate,rri,INT,nullable,HeartRateEntity,rri,rri,only sent when non-null,OK,R-to-R interval ms; manual only
ring_heart_rate,source,VARCHAR(32),NOT NULL,HeartRateEntity,source,source,none,OK,manual | continuous
ring_heart_rate,sync_id,UUID,nullable,HeartRateEntity,syncId,sync_id,none,OK,No suffix - used as-is for heart_rate rows
ring_heart_rate,firmware_version,VARCHAR(32),nullable,HeartRateEntity,firmwareVersion,firmware_version,only sent when non-null,OK,
ring_heart_rate,hardware_version,VARCHAR(32),nullable,HeartRateEntity,hardwareVersion,hardware_version,only sent when non-null,OK,
ring_spo2,id,UUID,NOT NULL,HeartRateEntity,-,id,UUID.randomUUID().toString(),OK,
ring_spo2,user_id,UUID,NOT NULL,HeartRateEntity,-,user_id,authStore.userId,OK,
ring_spo2,device_timestamp,BIGINT,NOT NULL,HeartRateEntity,deviceTimestamp,device_timestamp,none,OK,
ring_spo2,server_timestamp,BIGINT,NOT NULL,-,-,- not sent -,Supabase server_default,OK,
ring_spo2,percent,SMALLINT,NOT NULL,HeartRateEntity,spO2,percent,none,OK,Null entities are skipped before posting
ring_spo2,reading_type,VARCHAR(32),NOT NULL,-,-,reading_type,"hardcoded ""manual""",OK,Only manual readings synced via this path; hourly/interval not yet implemented
ring_spo2,interval_minutes,SMALLINT,nullable,-,-,- not sent -,-,OK,Nullable; only needed for interval mode
ring_spo2,day_index,SMALLINT,nullable,-,-,- not sent -,-,OK,Nullable; only needed for interval/hourly mode
ring_spo2,sync_id,UUID,nullable,HeartRateEntity,syncId,sync_id,"suffixed: ""${syncId}-spo2""",OK,Suffix prevents collision with the heart_rate row from the same measurement
ring_spo2,firmware_version,VARCHAR(32),nullable,HeartRateEntity,firmwareVersion,firmware_version,only sent when non-null,OK,
ring_spo2,hardware_version,VARCHAR(32),nullable,HeartRateEntity,hardwareVersion,hardware_version,only sent when non-null,OK,
ring_hrv,id,UUID,NOT NULL,HeartRateEntity,-,id,UUID.randomUUID().toString(),OK,
ring_hrv,user_id,UUID,NOT NULL,HeartRateEntity,-,user_id,authStore.userId,OK,
ring_hrv,device_timestamp,BIGINT,NOT NULL,HeartRateEntity,deviceTimestamp,device_timestamp,none,OK,
ring_hrv,server_timestamp,BIGINT,NOT NULL,-,-,- not sent -,Supabase server_default,OK,
ring_hrv,ms,SMALLINT,NOT NULL,HeartRateEntity,hrv,ms,none,OK,RMSSD in ms; null entities skipped before posting
ring_hrv,source,VARCHAR(32),NOT NULL,HeartRateEntity,source,source,none,OK,
ring_hrv,interval_minutes,SMALLINT,nullable,-,-,- not sent -,-,OK,Nullable; only set for synced continuous history (not yet implemented)
ring_hrv,day_offset,SMALLINT,nullable,-,-,- not sent -,-,OK,Nullable; only set for synced continuous history
ring_hrv,sync_id,UUID,nullable,HeartRateEntity,syncId,sync_id,"suffixed: ""${syncId}-hrv""",OK,
ring_hrv,firmware_version,VARCHAR(32),nullable,HeartRateEntity,firmwareVersion,firmware_version,only sent when non-null,OK,
ring_hrv,hardware_version,VARCHAR(32),nullable,HeartRateEntity,hardwareVersion,hardware_version,only sent when non-null,OK,
ring_stress,id,UUID,NOT NULL,HeartRateEntity,-,id,UUID.randomUUID().toString(),OK,
ring_stress,user_id,UUID,NOT NULL,HeartRateEntity,-,user_id,authStore.userId,OK,
ring_stress,device_timestamp,BIGINT,NOT NULL,HeartRateEntity,deviceTimestamp,device_timestamp,none,OK,
ring_stress,server_timestamp,BIGINT,NOT NULL,-,-,- not sent -,Supabase server_default,OK,
ring_stress,level,SMALLINT,NOT NULL,HeartRateEntity,stress,level,none,OK,Stress index 0–100; null entities skipped before posting
ring_stress,source,VARCHAR(32),NOT NULL,HeartRateEntity,source,source,none,OK,
ring_stress,interval_minutes,SMALLINT,nullable,-,-,- not sent -,-,OK,Nullable; only for synced continuous history
ring_stress,day_offset,SMALLINT,nullable,-,-,- not sent -,-,OK,Nullable; only for synced continuous history
ring_stress,sync_id,UUID,nullable,HeartRateEntity,syncId,sync_id,"suffixed: ""${syncId}-stress""",OK,
ring_stress,firmware_version,VARCHAR(32),nullable,HeartRateEntity,firmwareVersion,firmware_version,only sent when non-null,OK,
ring_stress,hardware_version,VARCHAR(32),nullable,HeartRateEntity,hardwareVersion,hardware_version,only sent when non-null,OK,
ring_temperature,id,UUID,NOT NULL,HeartRateEntity,-,id,UUID.randomUUID().toString(),OK,
ring_temperature,user_id,UUID,NOT NULL,HeartRateEntity,-,user_id,authStore.userId,OK,
ring_temperature,device_timestamp,BIGINT,NOT NULL,HeartRateEntity,deviceTimestamp,device_timestamp,none,OK,
ring_temperature,server_timestamp,BIGINT,NOT NULL,-,-,- not sent -,Supabase server_default,OK,
ring_temperature,celsius_primary,NUMERIC(5-2),NOT NULL,HeartRateEntity,temperature,celsius_primary,none,OK,Already in °C; null entities skipped before posting
ring_temperature,celsius_side1,NUMERIC(5-2),nullable,-,-,- not sent -,-,OK,Nullable; current sync only captures single-sensor manual readings
ring_temperature,celsius_side2,NUMERIC(5-2),nullable,-,-,- not sent -,-,OK,Nullable
ring_temperature,measurement_mode,VARCHAR(32),NOT NULL,-,-,measurement_mode,"hardcoded ""manual_once""",OK,Only manual_once measurements synced via this path
ring_temperature,time_span_minutes,SMALLINT,nullable,-,-,- not sent -,-,OK,Nullable; only for auto_series mode
ring_temperature,day_index,SMALLINT,nullable,-,-,- not sent -,-,OK,Nullable; only for interval/series mode
ring_temperature,sync_id,UUID,nullable,HeartRateEntity,syncId,sync_id,"suffixed: ""${syncId}-temp""",OK,
ring_temperature,firmware_version,VARCHAR(32),nullable,HeartRateEntity,firmwareVersion,firmware_version,only sent when non-null,OK,
ring_temperature,hardware_version,VARCHAR(32),nullable,HeartRateEntity,hardwareVersion,hardware_version,only sent when non-null,OK,
ring_blood_pressure,id,UUID,NOT NULL,HeartRateEntity,-,id,UUID.randomUUID().toString(),OK,
ring_blood_pressure,user_id,UUID,NOT NULL,HeartRateEntity,-,user_id,authStore.userId,OK,
ring_blood_pressure,device_timestamp,BIGINT,NOT NULL,HeartRateEntity,deviceTimestamp,device_timestamp,none,OK,
ring_blood_pressure,server_timestamp,BIGINT,NOT NULL,-,-,- not sent -,Supabase server_default,OK,
ring_blood_pressure,systolic,SMALLINT,NOT NULL,HeartRateEntity,systolic,systolic,none,OK,mmHg; null entities skipped before posting
ring_blood_pressure,diastolic,SMALLINT,NOT NULL,HeartRateEntity,diastolic,diastolic,none,OK,mmHg
ring_blood_pressure,heart_rate_used,INT,nullable,-,-,- not sent -,-,OK (gap),Column is nullable but data dict says it is recommended for auditability; SupabaseSyncAuth never sends it
ring_blood_pressure,measurement_type,VARCHAR(32),NOT NULL,-,-,measurement_type,"hardcoded ""manual""",BUG,"Column enum is manual_ring | auto_hourly - ""manual"" is not a valid value; Supabase will accept it (no CHECK constraint enforced by PostgREST by default) but it violates the schema contract and breaks FastAPI validation if data is later re-read through that path"
