table,column,data_type,format_example,unit,nullable,source,sdk_field,description,validation_rules,notes
_common,id,UUID v4,550e8400-e29b-41d4-a716-446655440000,,NOT NULL,Server generated,,Unique record identifier. Generated server-side on insert. Never sent by Android.,Must be valid UUID v4. Reject duplicates.,
_common,user_id,UUID v4,550e8400-e29b-41d4-a716-446655440001,,NOT NULL,JWT token (server extracts),,Owner of the record. Extracted from the JWT bearer token on every request. Android never sends this field.,Must match authenticated user.,
_common,device_timestamp,INT64,1.71253E+12,Unix ms (UTC),NOT NULL,Android app,Varies per table  see sdk_field column on each row,When the measurement was taken on the device. Android system clock in UTC milliseconds. Primary time for charting and export.,Must be > 0. Must be <= server receive time + 60000 ms (60s clock skew allowance). Reject future timestamps beyond 60s.,
_common,server_timestamp,INT64,1.71253E+12,Unix ms (UTC),NOT NULL,Server generated,,When the API server received and stored the record. Set by server on insert. Never trusted from client.,Set automatically on insert. Immutable. Read-only.,
_common,source,ENUM string,manual,,NOT NULL,Android app,,How the measurement was initiated.,Allowed values: manual | continuous. Reject all others.,
_common,sync_id,UUID v4,7f3e9a12-b4c1-4d8e-9f2a-1b3c5d7e9f01,,NULLABLE,Android app (generated before upload),,"Client-generated idempotency key. Android creates this UUID before sending and stores it locally. If same sync_id arrives twice (retry), server inserts once and returns 200 on second call instead of 201.",If provided must be UUID v4. Deduplicate within 24h window per user.,
_common,firmware_version,VARCHAR(32),1.0.0.1,,NULLABLE,Android  MyBluetoothReceiver.onCharacteristicRead,Constants.CHAR_FIRMWARE_REVISION UUID,Ring firmware version at time of measurement. Read from BLE characteristic after each connection.,Max 32 chars. Optional.,
_common,hardware_version,VARCHAR(32),HW_v2,,NULLABLE,Android  MyBluetoothReceiver.onCharacteristicRead,Constants.CHAR_HW_REVISION UUID,Ring hardware version at time of measurement.,Max 32 chars. Optional.,
heart_rate,id,UUID v4,550e8400-...,,NOT NULL,Server,,Unique record identifier,UUID v4.,
heart_rate,user_id,UUID v4,550e8400-...,,NOT NULL,JWT,,Record owner,From JWT.,
heart_rate,device_timestamp,INT64,1.71253E+12,Unix ms UTC,NOT NULL,Android,"ReadHeartRateRsp.mUtcTime (int, Unix seconds) * 1000 for continuous. System.currentTimeMillis() at callback for manual.",Measurement time on device. SDK mUtcTime is Unix seconds  multiply by 1000 for ms.,> 0. Not future beyond 60s.,
heart_rate,server_timestamp,INT64,1.71253E+12,Unix ms UTC,NOT NULL,Server,,Server insert time.,Server generated.,
heart_rate,bpm,INT16,72,beats per minute,NOT NULL,Android SDK,"StopHeartRateRsp.value (int) for manual via manualModeHeart. ReadHeartRateRsp.mHeartRateArray[i] (byte, unsigned) for continuous  one point per 5 min. Convert: val bpm = byteVal.toInt() and 0xFF",Heart rate in BPM. SDK value field is int for manual. mHeartRateArray is byte[]  unsigned conversion required for continuous.,Range: 30–250. Reject outside. Zero = no reading  do not store.,
heart_rate,rri,INT32,820,milliseconds,NULLABLE,Android SDK,StopHeartRateRsp.rri (int). Only available on manual measurements.,R-to-R interval in ms. Only from manual measurement. Null for continuous.,Range: 200–2000 ms. Null if continuous or not available.,
heart_rate,source,ENUM,manual,,NOT NULL,Android,,manual or continuous,Allowed: manual | continuous,
heart_rate,sync_id,UUID v4,7f3e9a12-...,,NULLABLE,Android,,Idempotency key,UUID v4 if provided.,
heart_rate,firmware_version,VARCHAR(32),1.0.0.1,,NULLABLE,Android,CHAR_FIRMWARE_REVISION,Ring firmware at measurement,Max 32 chars.,
heart_rate,hardware_version,VARCHAR(32),HW_v2,,NULLABLE,Android,CHAR_HW_REVISION,Ring hardware version,Max 32 chars.,
spo2,id,UUID v4,550e8400-...,,NOT NULL,Server,,Unique record identifier,UUID v4.,
spo2,user_id,UUID v4,550e8400-...,,NOT NULL,JWT,,Record owner,From JWT.,
spo2,device_timestamp,INT64,1.71253E+12,Unix ms UTC,NOT NULL,Android,"BloodOxygenEntity.unix_time (long, Unix seconds) * 1000 for continuous. System.currentTimeMillis() for manual.",Measurement time. BloodOxygenEntity.unix_time is Unix seconds  multiply by 1000.,> 0.,
spo2,server_timestamp,INT64,1.71253E+12,Unix ms UTC,NOT NULL,Server,,Server insert time.,Server generated.,
spo2,percent,INT8,98,% SpO2,NOT NULL,Android SDK,"StopHeartRateRsp.bloodOxygen (int) for manual via manualModeSpO2. BloodOxygenEntity.minArray[hour] or maxArray[hour] (List<Integer>) for hourly continuous  one entry per hour, 24 total. IntervalBloodOxygenEntity.array (List<Integer>) for interval mode  one per minute.","Blood oxygen saturation. SDK returns int directly (not byte) for manual. For continuous hourly, store average of min+max per hour.","Range: 70–100. Values below 70 physiologically implausible  reject. Zero = sensor error, do not store.",
spo2,reading_type,ENUM,hourly,,NOT NULL,Android,,Distinguishes hourly summary from interval per-minute data.,Allowed: manual | hourly | interval,
